,ID,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,PredictedChurn
18,63,12,0,163,0,CC,Budget,Intnl_discount,175,1,F,M,2,59613.1,N,34.32,T
19,68,18,0,59,0,CC,FreeLocal,Standard,77,3,F,S,2,9559.78,N,51.38,T
20,73,26,0,9,0,Auto,FreeLocal,Intnl_discount,35,4,F,M,2,83284.1,Y,28.42,F
21,77,9,4,111,0,Auto,Budget,Intnl_discount,125,4,M,S,0,3601.71,N,49.266667,T
22,78,18,0,20,0,CH,FreeLocal,Intnl_discount,39,4,F,M,0,72642.6,N,27.646666999999997,F
23,79,20,8,13,0,CC,FreeLocal,Standard,43,4,F,S,0,98716.3,N,55.66,T
24,81,14,8,10,0,CH,FreeLocal,Standard,33,4,F,M,2,84789.3,N,50.433333000000005,T
25,83,18,0,31,0,Auto,FreeLocal,Intnl_discount,50,4,F,M,2,35976.5,Y,48.853333,T
26,85,24,0,20,0,CH,FreeLocal,Intnl_discount,44,4,F,M,1,77129.1,Y,61.846667000000004,F
27,86,15,0,24,0,CH,FreeLocal,Standard,39,3,F,M,2,8204.72,N,52.973333,F
28,88,2,8,17,0,CC,FreeLocal,Standard,28,4,F,M,0,80405.1,N,60.226667000000006,F
29,90,16,1,125,0,CC,FreeLocal,Intnl_discount,142,2,M,S,0,64136.6,Y,61.106667,T
30,92,24,0,73,0,CH,FreeLocal,Standard,97,2,F,M,2,45429.7,Y,61.713333,T
31,94,9,0,11,0,CC,FreeLocal,Standard,21,1,F,S,0,25285.5,N,53.986667000000004,T
32,95,20,0,41,1,CC,Budget,Intnl_discount,62,2,F,M,2,77551.1,Y,33.6,F
33,110,1,0,11,0,CC,Budget,Standard,14,3,F,S,2,21021.6,Y,62.753333,T
34,111,25,0,179,0,CC,FreeLocal,Standard,206,2,M,S,0,74460.7,Y,55.34,T
35,120,29,0,52,0,Auto,FreeLocal,Standard,82,2,F,M,2,62061.8,Y,45.92,F
36,121,27,0,57,0,CC,Budget,Standard,85,3,F,M,1,20550.9,Y,22.12,T
37,127,22,0,34,0,Auto,Budget,Standard,57,2,F,S,2,19131.1,N,56.18666700000001,T
38,130,0,0,3,0,CC,Budget,Standard,3,4,F,S,2,83073.7,N,39.553333,F
39,133,20,1,112,0,Auto,Budget,Intnl_discount,134,1,M,M,2,42750.3,Y,50.493333,F
40,135,0,0,0,0,Auto,Budget,Intnl_discount,0,2,F,S,2,2842.55,N,45.92,T
41,136,15,1,12,0,CC,Budget,Standard,29,1,M,M,2,22358.1,N,52.626667000000005,F
42,140,28,0,161,0,CC,FreeLocal,Intnl_discount,190,2,F,S,0,7325.5,N,36.92,T
43,142,6,0,58,0,CC,Budget,Standard,64,1,M,M,2,28766.9,N,46.84,F
44,148,26,0,13,0,CC,FreeLocal,Standard,40,3,M,M,2,91272.2,Y,25.033333,F
45,158,11,0,15,0,CC,Budget,Standard,26,1,M,M,2,1406.05,Y,19.306667,F
46,160,22,0,28,0,Auto,Budget,Standard,50,4,F,S,0,73228.3,N,62.0,F
47,161,2,0,150,0,Auto,FreeLocal,Standard,152,2,F,S,2,76231.9,N,63.806667000000004,F
48,166,13,1,36,0,CH,FreeLocal,Standard,51,3,M,M,1,64792.3,N,52.146667,T
49,169,29,0,8,0,CH,Budget,Intnl_discount,38,1,F,S,0,93322.1,Y,40.313333,T
50,174,0,3,10,0,CC,Budget,Intnl_discount,14,4,M,M,1,63437.3,N,63.653332999999996,T
51,178,27,0,23,0,CC,Budget,Standard,51,3,M,M,2,49910.7,Y,51.52,F
52,180,11,0,25,0,CC,FreeLocal,Standard,37,4,M,M,0,76161.4,Y,44.573333,T
53,190,10,0,57,0,CC,FreeLocal,Standard,67,1,M,M,2,57360.8,Y,53.253333,F
54,191,29,0,10,0,CC,FreeLocal,Standard,40,4,M,M,0,92414.7,Y,45.513333,T
55,192,9,0,62,1,CH,FreeLocal,Standard,72,3,M,M,1,60102.7,N,42.14,T
56,194,29,0,332,0,CC,Budget,Standard,361,1,F,M,2,17888.7,N,55.0,F
57,195,11,0,28,0,CC,FreeLocal,Intnl_discount,40,2,F,S,1,12526.3,N,53.553332999999995,T
58,198,11,0,95,0,Auto,Budget,Standard,107,1,F,S,2,14578.8,Y,60.933333,T
59,201,21,0,29,1,CC,FreeLocal,Standard,51,4,M,M,0,78572.2,Y,42.346667,T
60,206,0,0,22,0,CC,Budget,Standard,22,1,F,M,2,87578.2,Y,53.36666700000001,F
61,209,20,0,23,0,CC,Budget,Intnl_discount,43,4,F,S,2,76791.2,N,61.0,F
62,218,29,0,90,4,Auto,FreeLocal,Intnl_discount,119,3,F,M,0,83287.0,N,45.486667,F
63,219,24,6,27,0,Auto,Budget,Standard,58,2,M,S,0,2056.06,Y,18.94,T
64,221,15,0,70,0,CC,Budget,Intnl_discount,85,4,M,M,1,2067.82,N,47.853333,F
65,224,6,0,15,0,CC,FreeLocal,Standard,21,2,F,M,2,69343.3,N,42.166667,F
66,225,0,0,23,2,Auto,Budget,Standard,24,4,F,M,0,77000.0,N,55.0,F
67,229,2,0,9,0,CC,Budget,Intnl_discount,12,4,F,S,0,27498.1,N,42.0,F
68,231,26,0,103,0,CC,FreeLocal,Standard,129,1,F,M,2,21419.9,N,59.833332999999996,F
69,232,5,8,63,0,Auto,FreeLocal,Standard,77,3,F,M,2,30665.2,Y,22.88,F
70,233,6,0,30,0,Auto,FreeLocal,Intnl_discount,37,2,F,M,1,66000.0,Y,63.353333,F
71,234,16,0,113,1,CH,Budget,Standard,129,2,F,M,2,50561.3,N,52.0,F
72,236,22,0,41,0,CC,Budget,Intnl_discount,64,3,F,S,2,23464.0,Y,70.0,T
73,237,28,0,38,0,CC,FreeLocal,Standard,67,4,F,M,2,194.57,N,42.0,F
74,238,17,0,8,0,CH,FreeLocal,Intnl_discount,26,4,F,M,1,98680.4,Y,55.0,F
75,239,13,0,144,0,CC,Budget,Standard,158,3,M,M,1,65619.7,Y,46.0,T
76,241,22,0,151,0,Auto,FreeLocal,Intnl_discount,174,2,F,S,0,85275.0,N,47.0,F
77,243,13,0,11,0,Auto,FreeLocal,Standard,25,3,F,M,1,98453.6,Y,46.0,F
78,244,25,0,10,0,CC,FreeLocal,Intnl_discount,35,3,F,M,2,94026.8,Y,27.746667,F
79,246,25,0,252,1,Auto,Budget,Standard,277,2,F,S,2,57420.0,Y,61.0,F
80,254,0,0,10,0,CC,FreeLocal,Standard,10,3,F,M,2,18296.4,Y,42.626667,F
81,257,22,0,63,0,Auto,FreeLocal,Standard,86,3,F,S,1,68000.0,N,60.0,F
82,261,20,0,37,0,Auto,Budget,Standard,57,3,F,S,2,86747.1,N,64.85333299999999,F
83,263,21,0,139,0,Auto,Budget,Standard,160,3,F,M,1,87404.6,N,63.18666700000001,F
84,264,6,4,153,0,CC,FreeLocal,Intnl_discount,164,2,M,S,2,20919.0,N,27.886667,F
85,265,19,2,14,1,Auto,Budget,Intnl_discount,35,4,F,M,2,85394.0,Y,20.16,F
86,266,2,0,36,1,CC,FreeLocal,Standard,38,3,F,S,0,2121.36,N,39.786667,T
87,267,7,0,65,0,CH,Budget,Intnl_discount,73,2,F,M,2,63566.1,Y,56.3,F
88,272,21,0,19,0,CC,FreeLocal,Intnl_discount,41,4,F,M,2,82644.2,Y,33.493333,F
89,281,29,0,116,3,CH,Budget,Standard,145,2,F,M,2,34577.7,N,63.253333,F
90,284,10,0,137,0,CC,FreeLocal,Standard,147,4,F,S,2,19008.4,Y,52.166667,T
91,285,23,0,126,0,Auto,FreeLocal,Standard,150,3,F,M,0,98056.3,N,55.966667,F
92,286,0,0,2,0,CH,Budget,Standard,2,4,M,M,0,73400.0,Y,64.226667,T
93,288,2,1,43,0,CH,Budget,Intnl_discount,46,2,M,M,0,78894.2,N,28.0,F
94,289,20,8,80,0,CH,Budget,Intnl_discount,109,1,M,S,1,16432.1,Y,20.92,T
95,291,14,3,45,0,CC,Budget,Standard,63,3,M,S,1,71329.9,Y,42.233333,T
96,295,22,7,65,0,CC,FreeLocal,Standard,95,4,F,S,0,20913.6,N,53.013332999999996,T
97,304,22,7,64,0,CC,FreeLocal,Intnl_discount,94,3,M,M,1,75799.9,N,46.38,T
98,305,14,0,8,0,CC,Budget,Standard,22,4,F,S,2,15688.5,N,53.06,T
99,308,16,5,30,0,CC,FreeLocal,Intnl_discount,52,2,F,S,0,5185.31,N,62.053332999999995,T
100,312,8,0,22,0,CC,FreeLocal,Standard,31,4,F,M,2,80087.7,N,41.92,F
101,313,21,0,256,0,CC,Budget,Standard,278,2,F,M,2,59691.3,N,38.04,F
102,315,28,0,113,0,CC,FreeLocal,Standard,141,2,F,S,2,11251.1,Y,61.0,T
103,317,7,4,43,0,CC,FreeLocal,Standard,55,4,M,M,0,70908.7,N,49.62,T
104,318,14,5,73,0,CH,FreeLocal,Standard,93,4,M,S,0,94928.3,N,40.18,T
105,320,20,2,90,0,Auto,FreeLocal,Standard,112,2,F,M,2,50622.3,N,40.46,F
106,326,29,0,62,0,CH,Budget,Standard,92,4,M,M,0,100020.0,Y,52.266667,T
107,329,17,6,51,0,CC,FreeLocal,Standard,74,2,F,M,1,56722.8,N,60.593332999999994,F
108,331,0,0,3,0,CC,Budget,Intnl_discount,3,3,M,M,1,80000.0,N,53.213333,T
109,332,18,0,104,0,CC,Budget,Standard,123,4,F,S,2,3416.62,Y,22.76,T
110,333,0,0,10,0,Auto,Budget,Standard,10,2,F,M,0,73400.0,Y,55.63333299999999,F
111,334,15,0,25,0,CC,FreeLocal,Standard,40,4,M,M,0,120000.0,Y,53.213333,T
112,335,29,0,59,0,CC,FreeLocal,Standard,88,2,F,M,2,8032.16,N,45.666667,F
113,336,18,0,25,0,Auto,FreeLocal,Standard,44,4,F,S,1,93454.3,Y,48.533333,F
114,338,0,7,208,0,Auto,Budget,Standard,215,4,F,S,0,83287.0,N,77.0,F
115,339,23,0,51,0,Auto,FreeLocal,Standard,74,3,F,S,0,92564.1,Y,49.133333,F
116,343,6,0,43,0,CC,FreeLocal,Standard,50,1,F,M,2,48322.5,Y,49.333333,F
117,346,6,0,46,0,CC,FreeLocal,Standard,53,1,F,M,2,81913.8,Y,49.66,F
118,349,27,0,93,0,CH,Budget,Standard,120,3,F,S,0,919.93,N,38.26,T
119,350,7,0,9,1,CC,Budget,Standard,17,1,F,M,2,69486.8,N,30.946666999999998,F
120,351,0,0,2,0,CH,Budget,Intnl_discount,2,4,F,M,2,24482.8,N,33.533333,F
121,353,26,0,236,0,CC,Budget,Standard,263,4,F,M,0,14573.6,N,64.606667,F
122,356,20,0,84,0,CC,FreeLocal,Intnl_discount,104,3,F,S,0,17138.2,N,63.786667,T
123,358,2,0,164,0,CC,Budget,Intnl_discount,167,1,F,M,2,47010.1,N,57.406667000000006,F
124,361,6,7,128,1,CC,FreeLocal,Standard,142,2,M,M,1,69406.7,Y,30.0,F
125,363,0,0,4,0,CC,Budget,Standard,4,4,F,M,2,83259.3,N,50.88,F
126,370,7,0,20,1,CH,Budget,Standard,28,1,F,M,2,2185.6,N,52.513332999999996,F
127,372,21,3,17,0,CC,FreeLocal,Standard,42,2,M,M,1,76511.3,N,62.08,T
128,374,25,0,8,0,CH,FreeLocal,Standard,34,2,F,M,1,6946.07,N,23.0,T
129,375,0,0,112,0,CC,Budget,Standard,113,3,F,M,2,11234.7,Y,49.046667,F
130,383,27,0,51,0,Auto,FreeLocal,Standard,78,2,F,M,2,63670.8,Y,46.146667,F
131,384,29,5,35,0,CC,Budget,Standard,70,2,M,S,0,83287.0,N,45.486667,T
132,385,20,0,100,0,Auto,Budget,Standard,120,1,F,S,1,66000.0,Y,45.486667,F
133,388,19,0,118,0,Auto,FreeLocal,Standard,137,2,F,M,1,82931.3,N,64.64,F
134,389,17,0,27,0,CH,Budget,Standard,44,2,F,M,2,57483.9,N,44.026666999999996,F
135,391,10,0,32,0,Auto,FreeLocal,Standard,43,2,F,S,2,21274.0,N,45.526666999999996,T
136,392,21,0,192,0,CC,FreeLocal,Standard,214,2,F,M,2,28267.0,N,30.093333,F
137,394,8,9,77,0,CH,Budget,Standard,94,2,F,M,2,36725.1,N,55.793333,F
138,404,17,0,106,0,Auto,FreeLocal,Standard,123,3,F,S,1,12374.9,Y,33.493333,T
139,405,8,0,37,0,CH,FreeLocal,Standard,46,2,F,M,2,69133.9,Y,26.833333000000003,F
140,407,11,0,12,0,CH,FreeLocal,Intnl_discount,23,3,F,M,2,84948.0,Y,29.446666999999998,F
141,408,2,0,50,0,Auto,Budget,Standard,52,2,F,M,2,30998.8,N,40.96,F
142,414,9,9,8,0,CC,FreeLocal,Intnl_discount,27,1,M,M,2,21416.5,N,35.653333,F
143,422,0,0,0,0,Auto,Budget,Standard,0,2,F,M,2,38215.9,N,30.886667,F
144,423,28,0,160,0,CC,FreeLocal,Standard,176,1,F,M,1,13829.4,N,22.0,T
145,424,2,0,24,0,CH,Budget,Intnl_discount,27,3,F,M,2,49745.3,N,47.966667,F
146,428,3,8,5,0,CC,Budget,Intnl_discount,16,2,M,S,0,89142.7,N,33.0,F
147,429,20,0,106,0,Auto,FreeLocal,Intnl_discount,127,2,F,S,0,74530.8,N,63.086667000000006,F
148,431,30,0,262,0,CC,Budget,Standard,265,3,F,S,0,35000.0,N,23.0,T
149,436,22,0,82,0,CC,Budget,Intnl_discount,104,2,F,M,2,76289.2,N,48.206666999999996,F
150,438,11,0,5,0,CC,Budget,Standard,17,4,M,M,1,66931.9,N,63.933333,T
151,439,40,0,99,0,CC,FreeLocal,Standard,108,2,F,D,1,9309.57,Y,24.0,T
152,441,27,0,154,0,CC,Budget,Intnl_discount,168,2,F,S,0,32962.6,N,19.0,T
153,442,26,0,61,0,CC,Budget,Standard,65,2,F,S,0,40000.0,N,20.0,T
154,443,33,0,35,0,Auto,Budget,Standard,41,3,F,S,2,33330.0,N,21.0,T
155,444,33,0,9,0,Auto,Budget,Intnl_discount,23,1,F,S,1,32098.0,N,22.0,T
156,445,37,2,38,0,CC,FreeLocal,Standard,62,1,F,S,2,30090.0,N,24.0,T
157,450,13,0,96,0,CC,FreeLocal,Standard,110,4,F,M,2,90271.6,N,44.926667,F
158,455,21,0,6,0,CC,Budget,Standard,27,2,F,M,2,64816.6,Y,31.126666999999998,F
159,456,29,0,13,0,CC,FreeLocal,Standard,42,1,F,M,2,98217.1,N,44.98,F
160,458,14,0,88,0,CH,Budget,Intnl_discount,102,1,F,S,1,2929.13,N,53.50666700000001,T
161,461,11,0,5,0,CC,FreeLocal,Standard,18,1,M,M,0,96223.4,Y,64.76,T
162,463,14,6,214,0,CC,Budget,Standard,234,2,M,M,0,69168.4,Y,62.426667,T
163,464,3,0,100,0,CC,Budget,Intnl_discount,113,2,M,M,1,92148.5,Y,33.0,F
164,466,8,0,6,0,CC,FreeLocal,Intnl_discount,33,2,M,S,0,62705.9,Y,32.0,F
165,468,7,0,43,0,CC,FreeLocal,Standard,56,2,M,S,0,84479.2,N,30.0,F
166,469,28,0,17,0,CC,FreeLocal,Standard,45,2,F,M,2,64977.4,N,38.193333,F
167,470,12,0,89,0,CH,FreeLocal,Standard,102,1,F,M,0,77994.0,N,50.553333,T
168,472,12,0,18,0,CC,Budget,Standard,31,1,F,M,0,59008.4,Y,30.18,T
169,474,5,7,76,0,CH,FreeLocal,Intnl_discount,88,1,M,S,1,84978.1,N,21.64,T
170,475,21,0,85,0,CC,Budget,Intnl_discount,107,3,F,M,2,36647.9,N,49.986667,F
171,476,3,0,37,0,CH,Budget,Intnl_discount,40,1,F,S,0,64319.2,N,41.226667,T
172,477,20,0,9,0,Auto,Budget,Intnl_discount,29,3,F,S,1,73338.0,N,48.246666999999995,F
173,479,18,0,8,0,CC,Budget,Standard,27,2,F,M,2,16962.2,N,45.36,F
174,481,20,4,117,0,CH,Budget,Intnl_discount,142,3,M,M,2,10708.3,N,26.026667,F
175,484,21,0,87,0,CC,Budget,Standard,109,2,F,M,0,2031.61,N,20.3,T
176,488,13,0,8,0,CH,FreeLocal,Standard,22,2,F,S,2,16938.5,N,55.0,F
177,497,29,0,9,0,CC,Budget,Intnl_discount,38,1,M,S,2,72084.7,N,55.64,F
178,499,23,0,10,0,Auto,Budget,Intnl_discount,34,2,F,S,1,49072.0,N,47.0,F
179,504,16,0,114,0,CH,Budget,Standard,130,3,M,M,1,71472.9,N,41.913333,T
180,505,7,0,6,0,CC,Budget,Standard,13,4,F,M,0,95405.7,N,42.0,F
181,506,21,0,87,0,CC,Budget,Standard,108,4,F,S,0,95786.8,Y,43.0,F
182,510,8,0,13,0,CH,Budget,Standard,21,2,F,M,2,56187.0,N,42.0,F
183,513,23,0,206,0,CC,Budget,Intnl_discount,229,2,F,S,1,37000.0,N,24.393333,T
184,518,29,0,45,0,CH,FreeLocal,Standard,75,1,M,M,2,29616.0,N,49.426667,F
185,520,24,0,22,0,CC,FreeLocal,Standard,47,2,M,M,0,19732.8,N,50.673333,F
186,523,26,0,32,1,CC,Budget,Standard,59,4,M,S,2,96.33,N,56.473333,F
187,526,5,0,23,0,CH,Budget,Intnl_discount,28,1,F,M,2,52004.8,N,25.14,F
188,529,12,0,46,4,CC,FreeLocal,Standard,58,1,M,M,2,53010.8,N,18.84,F
189,530,26,0,32,0,CC,Budget,Intnl_discount,58,2,M,M,0,75004.5,N,64.8,F
190,534,9,0,38,0,CC,Budget,Standard,48,3,M,S,1,57626.9,Y,43.906667,F
191,536,17,4,49,1,Auto,FreeLocal,Standard,72,4,F,M,2,47902.0,N,26.033333,F
192,547,0,0,28,0,CC,FreeLocal,Standard,29,4,F,S,0,78851.3,N,48.373333,T
193,548,22,0,13,0,Auto,Budget,Standard,36,1,F,S,1,17540.7,Y,62.786667,T
194,549,28,0,45,0,CH,Budget,Standard,74,4,F,M,0,83891.9,Y,61.02,T
195,550,26,0,12,0,CC,FreeLocal,Standard,38,4,F,M,2,28220.8,N,38.766667,T
196,554,13,8,56,0,CC,Budget,Standard,78,1,F,M,2,5237.63,N,48.753333000000005,F
197,560,14,0,25,0,CC,Budget,Standard,40,4,F,S,1,13576.5,N,39.426667,T
198,564,4,0,91,1,CC,Budget,Standard,96,3,F,M,2,67388.0,N,53.12,T
199,565,16,0,81,0,CH,Budget,Standard,98,4,F,M,1,57063.0,Y,52.333333,F
200,566,3,0,11,1,CC,Budget,Standard,15,1,F,M,2,84166.1,N,54.013332999999996,T
201,572,11,0,50,0,CC,FreeLocal,Standard,61,2,F,S,1,7737.94,N,42.666667,T
202,573,21,0,293,0,CH,Budget,Standard,314,4,M,S,2,100020.0,N,48.0,T
203,574,0,0,2,0,CC,Budget,Standard,2,3,F,M,2,45287.6,Y,29.026667,F
204,575,12,0,163,0,CC,Budget,Intnl_discount,175,2,F,M,2,59613.1,N,34.32,T
205,577,0,0,1,0,CC,FreeLocal,Intnl_discount,1,2,F,S,1,16326.7,N,50.613333000000004,T
206,580,18,0,59,0,CC,FreeLocal,Standard,77,3,F,S,2,9559.78,N,51.38,T
207,585,26,0,9,0,Auto,FreeLocal,Intnl_discount,35,3,F,M,2,83284.1,Y,28.42,F
208,587,23,0,50,0,Auto,FreeLocal,Standard,73,4,F,D,1,68427.4,N,42.393333,F
209,591,20,8,13,0,CC,FreeLocal,Standard,43,4,F,S,0,98716.3,N,55.66,T
210,593,14,8,10,0,CH,FreeLocal,Standard,33,4,F,S,2,84789.3,N,50.433333000000005,T
211,596,16,0,56,0,CC,Budget,Intnl_discount,72,4,F,M,0,32703.1,Y,64.92,F
212,598,15,0,24,0,CH,FreeLocal,Standard,39,4,F,M,2,8204.72,N,52.973333,F
213,602,16,1,125,0,CC,FreeLocal,Intnl_discount,142,2,M,S,0,64136.6,Y,61.106667,T
214,604,24,0,73,0,CH,FreeLocal,Standard,97,3,F,M,2,45429.7,Y,61.713333,T
215,606,9,0,11,0,CC,FreeLocal,Standard,21,4,F,S,0,25285.5,N,53.986667000000004,T
216,609,1,0,25,0,CC,FreeLocal,Standard,27,4,F,S,0,69350.5,Y,57.42,F
217,616,29,9,104,0,CC,Budget,Standard,143,4,M,S,2,43634.5,N,21.78,T
218,621,16,5,10,0,CC,Budget,Standard,32,4,M,S,1,92647.5,N,56.04666700000001,T
219,622,3,0,11,0,CC,Budget,Standard,14,2,M,S,2,21021.6,Y,62.753333,F
220,626,27,0,58,0,Auto,Budget,Standard,86,3,F,S,2,28787.4,N,41.666667,T
221,633,27,0,57,0,CC,Budget,Standard,85,4,F,M,1,20550.9,Y,22.12,T
222,639,22,0,34,0,Auto,Budget,Standard,57,1,F,S,2,19131.1,N,56.18666700000001,T
223,645,20,1,112,0,Auto,Budget,Intnl_discount,134,2,M,M,2,42750.3,Y,50.493333,F
224,647,0,0,0,0,Auto,Budget,Intnl_discount,0,4,F,S,2,2842.55,N,45.92,T
225,648,15,1,12,0,CC,Budget,Standard,29,3,M,M,2,22358.1,N,52.626667000000005,F
226,651,22,0,27,0,CH,Budget,Standard,49,2,F,S,2,6440.46,Y,41.0,F
227,652,28,0,161,0,CC,FreeLocal,Intnl_discount,190,2,F,S,0,7325.5,N,36.92,T
228,654,6,0,58,0,CC,Budget,Standard,64,4,M,M,2,28766.9,N,46.84,F
229,666,11,9,115,1,CC,FreeLocal,Intnl_discount,137,4,M,S,0,69000.0,Y,52.266667,T
230,670,11,0,15,0,CC,Budget,Standard,26,3,M,M,2,1406.05,Y,19.306667,F
231,672,22,0,28,0,Auto,Budget,Standard,50,2,F,S,0,73228.3,N,43.0,F
232,690,27,0,23,0,CC,Budget,Standard,51,1,M,M,2,49910.7,Y,51.52,F
233,694,23,0,80,0,Auto,Budget,Standard,103,1,F,S,1,12686.0,N,64.8,T
234,702,10,0,57,0,CC,FreeLocal,Standard,67,2,M,M,2,57360.8,Y,53.253333,F
235,704,9,0,62,1,CH,FreeLocal,Standard,72,4,M,M,1,60102.7,N,42.14,T
236,707,11,0,28,0,CC,FreeLocal,Intnl_discount,40,1,F,S,1,12526.3,N,53.553332999999995,T
237,715,23,0,168,0,CC,FreeLocal,Standard,191,1,F,M,2,48238.8,N,34.706666999999996,F
238,721,20,0,23,0,CC,Budget,Intnl_discount,43,1,F,S,2,76791.2,N,47.0,F
239,726,4,0,114,1,CH,Budget,Standard,118,3,F,M,2,3193.6,N,54.04666700000001,F
240,730,29,0,90,4,Auto,FreeLocal,Intnl_discount,119,4,F,M,0,83287.0,N,56.193332999999996,F
241,731,24,6,27,0,Auto,Budget,Standard,58,4,M,S,1,2056.06,Y,18.94,T
242,734,4,7,8,0,CC,Budget,Standard,20,3,M,S,0,77000.0,N,63.353333,T
243,737,0,0,23,2,Auto,Budget,Standard,24,2,F,M,0,83287.0,N,44.0,F
244,740,4,0,6,0,CC,Budget,Intnl_discount,11,2,F,M,0,14932.5,N,46.0,F
245,741,2,0,9,0,CC,Budget,Intnl_discount,12,4,F,S,0,27498.1,N,52.646667,F
246,746,16,0,113,1,CH,Budget,Standard,129,2,F,M,2,50561.3,N,46.0,F
247,748,22,0,41,0,CC,Budget,Intnl_discount,64,3,F,S,2,23464.0,Y,61.0,T
248,750,17,0,8,0,CH,FreeLocal,Intnl_discount,26,4,F,M,1,98680.4,Y,46.0,F
249,751,13,0,144,0,CC,Budget,Standard,158,2,M,M,0,65619.7,Y,52.646667,T
250,752,10,0,93,0,CC,Budget,Standard,104,4,F,M,1,95620.3,Y,47.0,F
251,754,15,0,8,0,CC,FreeLocal,Intnl_discount,24,1,F,M,1,66921.4,Y,46.0,F
252,756,25,0,10,0,CC,FreeLocal,Intnl_discount,35,2,F,M,2,94026.8,Y,27.746667,F
253,759,3,3,26,1,CC,FreeLocal,Standard,34,1,M,M,0,66666.0,N,45.486667,T
254,766,0,0,10,0,CC,FreeLocal,Standard,10,4,F,M,2,18296.4,Y,42.626667,F
255,767,22,0,103,1,CC,FreeLocal,Standard,126,1,F,S,0,39461.0,N,22.226667000000003,T
256,773,20,0,37,0,Auto,Budget,Standard,57,4,F,S,2,86747.1,N,64.85333299999999,F
257,775,21,0,139,0,Auto,Budget,Standard,160,2,F,M,1,87404.6,N,63.18666700000001,F
258,777,19,2,14,1,Auto,Budget,Intnl_discount,35,2,F,M,2,85394.0,Y,20.16,F
259,779,7,0,65,0,CH,Budget,Intnl_discount,73,4,F,M,2,63566.1,Y,56.3,F
260,784,21,0,19,0,CC,FreeLocal,Intnl_discount,41,2,F,M,2,82644.2,Y,33.493333,F
261,791,0,0,2,0,CH,FreeLocal,Intnl_discount,2,4,F,M,2,809.43,Y,31.913333,F
262,792,18,5,20,0,CC,Budget,Standard,43,4,M,S,1,76529.8,N,58.28,T
263,795,27,0,45,0,Auto,Budget,Standard,73,1,F,M,0,66666.0,N,67.0,F
264,796,10,0,137,0,CC,FreeLocal,Standard,147,4,F,S,2,19008.4,Y,52.166667,T
265,800,2,1,43,0,CH,Budget,Intnl_discount,46,3,M,M,0,78894.2,N,52.74,T
266,801,20,8,80,0,CH,Budget,Intnl_discount,109,4,M,S,1,16432.1,Y,20.92,T
267,803,14,3,45,0,CC,Budget,Standard,63,3,M,S,1,71329.9,Y,42.233333,T
268,807,22,7,65,0,CC,FreeLocal,Standard,95,1,F,S,0,20913.6,N,53.013332999999996,T
269,820,16,5,30,0,CC,FreeLocal,Intnl_discount,52,4,F,S,0,5185.31,N,62.053332999999995,T
270,824,8,0,22,0,CC,FreeLocal,Standard,31,3,F,M,2,80087.7,N,41.92,F
271,827,28,0,113,0,CC,FreeLocal,Standard,141,4,F,S,2,11251.1,Y,52.0,T
272,829,7,4,43,0,CC,FreeLocal,Standard,55,1,M,M,1,70908.7,N,49.62,T
